N. riga,Codice Prodotto,Conformità alle norme RoHS?,Note,Q.tà,Codice produttore,Produttore / Descrizione,Disponilità,Prezzo unitario,Prezzo prodotto,Prezzo scontato
1,1226392,YES,,15.0,"LSR976","Colore LED:Rosso; Dimensione Lampadina:1,35mm x 1,4mm; Lunghezza d'Onda Tipica:633nm; Tensione Diretta:2V; Corrente Diretta If:25mA; Intensità Luminosa:50mcd; Montaggio LED:SMD; Forma lente",38138,0.0520,0.78,,
2,2303646,YES,,20.0,"ERJ6ENF8201V","Gamma Prodotti:Serie AEC-Q200 ERJ; Resistenza:8.2kohm; Livello di Potenza:125mW; Tolleranza Resistenza:± 1%; Tensione Nominale:150V; Modello Case Resistore:0805 [2012 Metrico]; Imba",1824,0.0065,0.13,,
3,2303671,YES,,20.0,"ERJ6ENF1502V","Gamma Prodotti:Serie AEC-Q200 ERJ; Resistenza:15kohm; Livello di Potenza:125mW; Tolleranza Resistenza:± 1%; Tensione Nominale:150V; Modello Case Resistore:0805 [2012 Metrico]; Imbal",3110,0.0080,0.16,,
4,2447574,YES,,20.0,"MCWR08X1500FTL","Gamma Prodotti:Serie MCWR; Resistenza:150ohm; Livello di Potenza:125mW; Tolleranza Resistenza:± 1%; Tensione Nominale:150V; Modello Case Resistore:0805 [2012 Metrico]; Imballaggi",17480,0.0025,0.05,,
5,2447553,YES,,20.0,"MCWR08X1002FTL","Gamma Prodotti:Serie MCWR; Resistenza:10kohm; Livello di Potenza:125mW; Tolleranza Resistenza:± 1%; Tensione Nominale:150V; Modello Case Resistore:0805 [2012 Metrico]; Imballaggio",49880,0.0025,0.05,,
6,1023035,YES,,12.0,"D01-9973242","Gamma Prodotti:D01 Series; Distanza di Passo:2.54mm; No. di Righe:1; No. di Contatti:32; Genere:Presa; Tipo Terminazione Contatto:Foro Passante; Rivestimento Contatto:Oro; Materiale Cont",1599,1.5400,18.48,,

,,,,,,,Subtotale,19.65
,,,,,,,Totale merci,19.65
,,,,,,,Spedizione  base,0.00
,,,,,,,IVA,Unknown
,,,,,,,Totale,19.65
