N. riga,Codice Prodotto,Conformità alle norme RoHS?,Note,Q.tà,Codice produttore,Produttore / Descrizione,Disponilità,Prezzo unitario,Prezzo prodotto,Prezzo scontato
1,9227881,YES,,50.0,"C1206C106K4PACTU","Gamma Prodotti:Serie C; Capacità:10µF; Tolleranza Capacità:± 10%; Caratteristica Dielettrico:X5R; Tensione Nominale:16V; Case Condensatore Ceramico:1206 [3216 Metrico]; Temperatu",35004,0.0584,2.92,,
2,2135981,YES,,60.0,"54601-908WPLF","Tipo di Connettore:RJ45; Gamma Prodotti:MODJACK Series; Genere:Jack; No. di Contatti:8; No. di Posizioni:8; No. di Porte:1; Categoria LAN:Cat3; Tipo Terminazione Contatto:Foro Passan",1559,0.3780,22.68,,
3,1593413,YES,,120.0,"2211S-04G","Gamma Prodotti:2211S Series; Distanza di Passo:2.54mm; No. di Righe:1; No. di Contatti:4; Genere:Header; Tipo Terminazione Contatto:Foro Passante; Rivestimento Contatto:Oro; Mate",5309,0.0729,8.75,,
4,9778195,YES,,24.0,"LM1117MP-3.3","Tensione di Ingresso Min:-; Tensione di Ingresso Max:15V; Tensione di Uscita Nom.:3.3V; Corrente di Uscita:800mA; Tensione Dropout Vdo:1.2V; Modello Case Regolatore LDO:SOT-223; No. di P",8395,0.8170,19.61,,
5,1749270,YES,,50.0,"ESDA6V1-5SC6","Dissipazione di Potenza Pd:100W; Tensione di Bloccaggio Vc Max:-; Tensione di Funzionamento:6.1V; Modello Involucro Diodo:SOT-23; No. di Pin:6; Imballaggio:Nastro Tagliato; Sostanze Es",671,0.2750,13.75,,

,,,,,,,Subtotale,67.71
,,,,,,,Totale merci,67.71
,,,,,,,Spedizione  base,0.00
,,,,,,,IVA,Unknown
,,,,,,,Totale,67.71
